StationCode,SampleDate,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,SampleTypeCode,Replicate,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments,LabBatch,AnalysisDate,MatrixName,MethodName,AnalyteName,FractionName,UnitName,LabReplicate,Result,ResQualCode,MDL,RL,QACode,ComplianceCode,DilutionFactor,ExpectedValue,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,SampleID,LabSampleID,LabResultComments,WeatherCondition,SampleStart,SampleEnd,"Above applicable WQBEL, receiving water limitation, action level, or aquatic toxicity threshold?","Applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results","Source of applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results"
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,"4,4'-DDT",,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,Ammonia as N,,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,Copper,,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,Copper (Dissolved),,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,E. coli,,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,Hardness,,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,Lead,,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,Lead (Dissolved),,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,MERCURY,,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
BC-020,06/Jul/2022,BC CIMP (NSWO),WQ,,,no flow observed,,,,Water_Grab,Grab,,None,,,,,,,Sample Water,,Nickel,,none,,No Sample,NS,,,NONE,QUAL,,,,,,,WPD-33211,N/A,,Dry,,,,,
