StationCode,SampleDate,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,SampleTypeCode,Replicate,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments,LabBatch,AnalysisDate,MatrixName,MethodName,AnalyteName,FractionName,UnitName,LabReplicate,Result,ResQualCode,MDL,RL,QACode,ComplianceCode,DilutionFactor,ExpectedValue,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,SampleID,LabSampleID,LabResultComments,WeatherCondition,SampleStart,SampleEnd,"Above applicable WQBEL, receiving water limitation, action level, or aquatic toxicity threshold?","Applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results","Source of applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results",
BC_01_WAS,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:50:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5282,02/Jul/2020 08:51,Sample Water,SM9223B,E. coli,,MPN/100 mL,1,1500,,100,100,None,COM,,,,,,,WPD-28789,6160901,,Dry,07/02/2020 09:50,07/02/2020 09:50,,,,
BC_02_ING,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:50:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5282,02/Jul/2020 08:51,Sample Water,SM9223B,E. coli,,MPN/100 mL,,750,,100,100,None,COM,,,,,,,WPD-28792,6160904,,Dry,07/02/2020 09:50,07/02/2020 09:50,Yes,576 (MPN/100 mL),TMDL Target (2012) SSM,
BCC_DUQ,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:15:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5282,02/Jul/2020 08:51,Sample Water,SM9223B,E. coli,,MPN/100 mL,,<100,ND,100,100,None,COM,,,,,,,WPD-28790,6160902,,Dry,07/02/2020 09:15,07/02/2020 09:15,,,,
BCE_MCC,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:05:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5281,02/Jul/2020 08:48,Sample Water,SM9223B,E. coli,,MPN/100 mL,,7500,,100,100,None,COM,,,,,,,WPD-28794,6160906,,Dry,07/02/2020 10:05,07/02/2020 10:05,Yes,400 (MPN/100 mL),TMDL Target (2012) SSM (Fecal Coliform),
BCE_MCC,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:05:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5284,02/Jul/2020 13:52,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,220,,10,10,FDP,COM,,,,,,,WPD-28794,6160906,,Dry,07/02/2020 10:05,07/02/2020 10:05,Yes,104 (MPN/100 mL),TMDL Target (2012) SSM,
BCE_MCC,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:05:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5281,02/Jul/2020 08:48,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,73000,,100,100,None,COM,,,,,,,WPD-28794,6160906,,Dry,07/02/2020 10:05,07/02/2020 10:05,Yes,10000 (MPN/100 mL),TMDL Target (2012) SSM,
BCE_PAC,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:20:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5281,02/Jul/2020 08:48,Sample Water,SM9223B,E. coli,,MPN/100 mL,,<100,ND,100,100,None,COM,,,,,,,WPD-28795,6160907,,Dry,07/02/2020 10:20,07/02/2020 10:20,,,,
BCE_PAC,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:20:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5284,02/Jul/2020 13:52,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,10,,10,10,FDP,COM,,,,,,,WPD-28795,6160907,,Dry,07/02/2020 10:20,07/02/2020 10:20,,,,
BCE_PAC,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:20:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5281,02/Jul/2020 08:48,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,2700,,100,100,None,COM,,,,,,,WPD-28795,6160907,,Dry,07/02/2020 10:20,07/02/2020 10:20,Yes,1000 (MPN/100 mL),TMDL Target (2012) Geomean,
BC-RW-FBLANK,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,08:45:00,Water_Grab,Field Blank,1,None,,,,,5281,02/Jul/2020 08:48,Blank Water,SM9223B,E. coli,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28797,6160909,,Dry,07/02/2020 08:45,07/02/2020 08:45,,,,
