StationCode,SampleDate,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,SampleTypeCode,Replicate,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments,LabBatch,AnalysisDate,MatrixName,MethodName,AnalyteName,FractionName,UnitName,LabReplicate,Result,ResQualCode,MDL,RL,QACode,ComplianceCode,DilutionFactor,ExpectedValue,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,SampleID,LabSampleID,LabResultComments,WeatherCondition,SampleStart,SampleEnd,"Above applicable WQBEL, receiving water limitation, action level, or aquatic toxicity threshold?","Applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results","Source of applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results"
BCE_PAC,26-Mar-19,BC CIMP (RW),WQ,,,,,,10:10:00,Sediment Grab,Composite,,Van Veen Grab,,,,,7281,23/Apr/2019 12:33,Sediment,Grain Size of Sediments,% Clay,,%,,0.42,,,,None,Com,,,,,,,WPD-26273,3964201,,Dry,03/26/2019 10:10,03/26/2019 10:10,,,
BCE_CUL,26-Mar-19,BC CIMP (RW),WQ,,,,,,11:25:00,Sediment Grab,Composite,,Van Veen Grab,,,,,7281,23/Apr/2019 12:34,Sediment,Grain Size of Sediments,% Clay,,%,,0.3,,,,None,Com,,,,,,,WPD-26274,3964202,,Dry,03/26/2019 11:25,03/26/2019 11:25,,,
BCE_PAC,26-Mar-19,BC CIMP (RW),WQ,,,,,,10:10:00,Sediment Grab,Composite,,Van Veen Grab,,,,,7280,22/Apr/2019 05:45,Sediment,Gravel,% Gravel,,%,,4.48,,,,None,Com,,,,,,,WPD-26273,3964201,,Dry,03/26/2019 10:10,03/26/2019 10:10,,,
BCE_CUL,26-Mar-19,BC CIMP (RW),WQ,,,,,,11:25:00,Sediment Grab,Composite,,Van Veen Grab,,,,,7280,22/Apr/2019 05:45,Sediment,Gravel,% Gravel,,%,,40.04,,,,None,Com,,,,,,,WPD-26274,3964202,,Dry,03/26/2019 11:25,03/26/2019 11:25,,,
BCE_PAC,13-Mar-19,BC CIMP (RW),WQ,,,Topsmelt (atherinops affinis),,,11:25:00,Other,Composite,,Hook and Line,,,,,1592,28/Mar/2019 00:00,Tissue,SOP 7298,% Lipids,,%,,1.71,,,,None,Com,,,,,,,WPD-26415,4025801,,Dry,03/13/2019 11:25,03/13/2019 11:25,,,
BCE_PAC,13-Mar-19,BC CIMP (RW),WQ,,,,,,14:30:00,Other,Composite,,Hook and Line,,,,,1592,28/Mar/2019 00:00,Tissue,SOP 7298,% Lipids,,%,,2.78,,,,None,Com,,,,,,,WPD-26416,4025802,,Dry,03/13/2019 14:30,03/13/2019 14:30,,,
BCE-1,11-Apr-19,BC CIMP (RW),WQ,,,"BCE-1 Mussel sample jar distribution
Mussel sample total weight: 219g
% Solids jar sample weight: 80g
% Lipids jar sample weght: 69g
Pest jar sample weight: 53g",,,10:45:00,Other,Grab,,None,,,,,1599,25/Apr/2019 00:00,Tissue,SOP 7298,% Lipids,,%,,1.42,,,,None,Com,,,,,,,WPD-26462,4178001,,Dry,04/11/2019 10:45,04/11/2019 10:45,,,
BCE-2,11-Apr-19,BC CIMP (RW),WQ,,,"BCE-2 Mussel sample jar distribution
Mussel sample total weight: 128g
% Solids jar sample weight: 50g
% Lipids jar sample weght: 33g
Pest jar sample weight: 33g",,,10:00:00,Other,Grab,,None,,,,,1599,25/Apr/2019 00:00,Tissue,SOP 7298,% Lipids,,%,,1.85,,,,None,Com,,,,,,,WPD-26463,4178002,,Dry,04/11/2019 10:00,04/11/2019 10:00,,,
BCE-3,11-Apr-19,BC CIMP (RW),WQ,,,"BCE-3 Mussel sample jar distribution
Mussel sample total weight: 200g
% Solids jar sample weight: 67g
% Lipids jar sample weght: 45g
Pest jar sample weight: 30g",,,11:40:00,Other,Grab,,None,,,,,1599,25/Apr/2019 00:00,Tissue,SOP 7298,% Lipids,,%,,1.5,,,,None,Com,,,,,,,WPD-26464,4178003,,Dry,04/11/2019 11:40,04/11/2019 11:40,,,
BCE-4,11-Apr-19,BC CIMP (RW),WQ,,,"BCE-4 Mussel sample jar distribution
Mussel sample total weight: 95 g
% Solids jar sample weight: 38g
% Lipids jar sample weght: 29g
Pest jar sample weight: 28g",,,12:00:00,Other,Grab,,None,,,,,1599,25/Apr/2019 00:00,Tissue,SOP 7298,% Lipids,,%,,2.43,,,,None,Com,,,,,,,WPD-26465,4178004,,Dry,04/11/2019 12:00,04/11/2019 12:00,,,
BCE_PAC,26-Mar-19,BC CIMP (RW),WQ,,,,,,10:10:00,Sediment Grab,Composite,,Van Veen Grab,,,,,7281,23/Apr/2019 12:33,Sediment,Grain Size of Sediments,% Sand,,%,,93.35,,,,None,Com,,,,,,,WPD-26273,3964201,,Dry,03/26/2019 10:10,03/26/2019 10:10,,,
BCE_CUL,26-Mar-19,BC CIMP (RW),WQ,,,,,,11:25:00,Sediment Grab,Composite,,Van Veen Grab,,,,,7281,23/Apr/2019 12:34,Sediment,Grain Size of Sediments,% Sand,,%,,58.1,,,,None,Com,,,,,,,WPD-26274,3964202,,Dry,03/26/2019 11:25,03/26/2019 11:25,,,
BCE_PAC,26-Mar-19,BC CIMP (RW),WQ,,,,,,10:10:00,Sediment Grab,Composite,,Van Veen Grab,,,,,7281,23/Apr/2019 12:33,Sediment,Grain Size of Sediments,% Silt,,%,,1.65,,,,None,Com,,,,,,,WPD-26273,3964201,,Dry,03/26/2019 10:10,03/26/2019 10:10,,,
BCE_CUL,26-Mar-19,BC CIMP (RW),WQ,,,,,,11:25:00,Sediment Grab,Composite,,Van Veen Grab,,,,,7281,23/Apr/2019 12:34,Sediment,Grain Size of Sediments,% Silt,,%,,1.58,,,,None,Com,,,,,,,WPD-26274,3964202,,Dry,03/26/2019 11:25,03/26/2019 11:25,,,
BC_02_ING,22-Nov-18,BC CIMP (RW),WQ,,,,,,00:08:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25478,NA,,Wet,11/22/2018 00:08,11/22/2018 02:54,,,
BC_02_ING (SBS FBLANK),1-Oct-18,BC CIMP (RW),WQ,,,,,,11:40:00,Water_Grab,Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Com,,,,,,,WPD-25479,NA,,Wet,10/01/2018 11:40,10/01/2018 11:40,,,
CC_CEN,22-Nov-18,BC CIMP (RW),WQ,,,,,,01:23:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25482,NA,,Wet,11/22/2018 01:23,11/22/2018 03:16,,,
CC_CEN (SBS Fblank),29-Sep-18,BC CIMP (RW),WQ,,,,,,12:40:00,Water_Grab,Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Com,,,,,,,WPD-25483,NA,,Wet,09/29/2018 12:40,09/29/2018 12:40,,,
BC_RW_FDUP (Comp),22-Nov-18,BC CIMP (RW),WQ,,,,,,00:08:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25488,NA,,Wet,11/22/2018 00:08,11/22/2018 02:54,,,
BC_RW_FBLANK (Comp),30-Sep-18,BC CIMP (RW),WQ,,,,,,12:30:00,Water_Grab,Equipment Blank,,Autosampler,,,,,1466,09/Oct/2018 17:12,Blank Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,None,Com,1,,,,,,WPD-25490,3281912,,Wet,09/30/2018 12:30,09/30/2018 12:30,,,
BC_SW_FAI,22-Nov-18,BC CIMP (SWO),WQ,,,,,,01:28:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1501,06/Dec/2018 00:00,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,Analyst Error,AE,,,None,Qual,20,,,,,,WPD-25492,3281908,,Wet,11/22/2018 01:28,11/22/2018 05:22,,,
CC_SW_LAC,22-Nov-18,BC CIMP (SWO),WQ,,,,,,00:50:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1501,06/Dec/2018 00:00,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.028,ND,0.028,0.05,None,Qual,,,,,,,WPD-25494,3281909,,Wet,11/22/2018 00:50,11/22/2018 03:50,,,
SC_SW_WAS,21-Nov-18,BC CIMP (SWO),WQ,,,,,,00:40:00,Autosampler (Time Paced),Composite,,Autosampler,,,,,1501,06/Dec/2018 00:00,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.028,ND,0.028,0.05,None,Qual,,,,,,,WPD-25496,3281910,,Wet,11/21/2018 00:40,11/22/2018 03:40,,,
BC_SW_FDUP (Comp),22-Nov-18,BC CIMP (SWO),WQ,,,,,,01:28:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,1501,06/Dec/2018 00:00,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.028,ND,0.028,0.05,None,Qual,20,,,,,,WPD-25497,3281911,,Wet,11/22/2018 01:28,11/22/2018 05:22,,,
BC_02_ING,5-Jan-19,BC CIMP (RW),WQ,,,,,,21:45:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25703,NA,,Wet,01/05/2019 21:45,01/06/2019 09:55,,,
